"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"356","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/DSsH2dfCiK",FALSE,0,NA,2017-12-15 22:12:18,FALSE,NA,"941793061410975744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalalalexy13",0,FALSE,FALSE,NA,NA
"357","Retweet to be on the Nice list this year #StarbucksforLife #GiveGood",FALSE,0,NA,2017-12-15 21:59:32,FALSE,NA,"941789850658750464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","love_joelle12",2,FALSE,FALSE,NA,NA
"358","Stop giving me duplicate cards under the life category... just let me win! #StarbucksforLife @Starbucks Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´‚Ä¶ https://t.co/kYjHbUy2pv",FALSE,0,NA,2017-12-15 21:59:31,TRUE,NA,"941789844786892800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malexandria1103",0,FALSE,FALSE,NA,NA
"359","I really wanna win @Starbucks for life! Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠ #StarbucksforLife",FALSE,0,NA,2017-12-15 21:58:13,FALSE,NA,"941789520688832513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malexandria1103",0,FALSE,FALSE,NA,NA
"360","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",FALSE,0,NA,2017-12-15 21:53:25,FALSE,NA,"941788308681699328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaluteMeShawty",575,TRUE,FALSE,NA,NA
"361","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/3Pk98RemgD",FALSE,0,NA,2017-12-15 21:49:43,TRUE,NA,"941787379295227905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brendakae42",0,FALSE,FALSE,NA,NA
"362","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Twy2EPJGEu",FALSE,0,NA,2017-12-15 21:45:09,TRUE,NA,"941786229128953856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MistyEMcD",0,FALSE,FALSE,NA,NA
"363","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/q7beiswxwZ",FALSE,0,NA,2017-12-15 21:36:56,TRUE,NA,"941784163274973184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CinciSmith1",0,FALSE,FALSE,NA,NA
"364","playing #StarbucksforLife as a partner is ‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è‚≠êÔ∏è also its funny that eveyone complains its ‚Äú rigged‚Äù I did some‚Ä¶ https://t.co/jYojbBmlj5",FALSE,0,NA,2017-12-15 21:31:59,TRUE,NA,"941782914840301570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RosaceaeQueen",0,FALSE,FALSE,NA,NA
"365","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/YysR5Mb50s",FALSE,0,NA,2017-12-15 21:31:49,FALSE,NA,"941782875883450368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Senor_AP",0,FALSE,FALSE,NA,NA
"366","@Starbucks thanks for the Pup Cup! Now even my dog wants #Starbucksforlife https://t.co/6Jjseacuzf",FALSE,0,"Starbucks",2017-12-15 21:30:51,FALSE,NA,"941782630831460352","30973","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahrballana",0,FALSE,FALSE,NA,NA
"367","Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife  #givegood",FALSE,1,NA,2017-12-15 21:30:21,FALSE,NA,"941782505786658817",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tanditweets2",1,FALSE,FALSE,NA,NA
"368","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Xube51L5uE",FALSE,0,NA,2017-12-15 21:29:58,TRUE,NA,"941782409900589056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","megew8",0,FALSE,FALSE,NA,NA
