"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"74","Authentically_U","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/hgKrWtOStv",0,0,1,1,-84.3826719,33.835855
"75","Avon_Shay","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/ORpH9W3UPs",0,1,1,1,-74.0059728,40.7127753
"76","Avon_Shay","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/qvwczRJ2jR",0,0,1,1,-74.0059728,40.7127753
"78","b_mac36","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/lbAMzpJjBK",0,0,1,1,-85.323214,51.253775
"80","Back2backPT","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife… https://t.co/AKP2MFpjfC",0,0,1,1,-98.4170523,29.5170728
"81","Badyogi_","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/mq7btLmMTt",0,0,1,1,-117.1610838,32.715738
"82","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/x6X1uDy4Uc",0,0,1,1,-73.1241488,40.8064187
"83","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/hEYiJFtjRv",0,0,1,1,-73.1241488,40.8064187
"84","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/NLanFQ3P14",0,0,1,1,-73.1241488,40.8064187
"85","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/r7dr2f8AWH",0,0,1,1,-73.1241488,40.8064187
"86","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/32VXsqoOKt",0,0,1,1,-73.1241488,40.8064187
"87","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/bitVuSbOLT",0,0,1,1,-73.1241488,40.8064187
"88","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/3uaNEOl0JO",0,0,1,1,-73.1241488,40.8064187
"89","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/NlbtYiWqiE",0,0,1,1,-73.1241488,40.8064187
"90","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/DscxpBIVFr",0,0,1,1,-73.1241488,40.8064187
"91","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/PYY1ZlPihK",0,0,1,1,-73.1241488,40.8064187
"92","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/kgveoIvsK7",0,0,1,1,-73.1241488,40.8064187
"93","BalletLI","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/5uWh7ez4Dk",0,0,1,1,-73.1241488,40.8064187
"94","batiamex","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/Fc9ZCek8JQ",0,0,1,1,-106.4850217,31.7618778
"96","bdholtzman","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/s6vYLeGvc0",0,0,1,1,-74.0059728,40.7127753
"100","belaine11","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/6ToePapipq",0,0,1,1,-85.7584557,38.2526647
"101","belaine11","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/AYb20ulRiH",0,0,1,1,-85.7584557,38.2526647
"102","BelindasBuzz","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/Paqhg4Q4XL",0,0,1,1,-76.6412712,39.0457549
"105","bengal7821","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/oTKYpqTwPa",0,0,1,1,-122.2913078,37.8271784
"107","berniwomack","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/GatqbPMfOH",0,0,1,1,-117.4260465,47.6587802
"108","berniwomack","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/ZekMWRQ8qB",0,0,1,1,-117.4260465,47.6587802
"112","bevorachel","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/eVDZD0TQSA",0,0,1,1,-99.9018131,31.9685988
"113","BGerend","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/6eFQAYdasU",0,0,1,1,-88.0118473,41.7435073
"115","BingBalunsay","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/4NdVcgPLal",0,1,1,1,-106.346771,56.130366
"116","BingBalunsay","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/lx5bzRHgpC",0,0,1,1,-106.346771,56.130366
"120","blythea","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/ydoeoalys8",0,0,1,1,-95.712891,37.09024
"121","BMC_8","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/3xcxCB2tch",0,0,1,1,-97.1383744,49.895136
"123","bobthef1","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/GXCfaMBKia",0,0,1,1,-91.0517953,30.4260638
"131","brittanylivesay","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/PcWyrqZvuO",0,0,1,1,-112.0740373,33.4483771
"142","CAMAYDeal","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife #givegood",0,1,1,1,-95.712891,37.09024
"147","CatD11Ag","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/yo6AreAkGf",0,0,1,1,-86.7816016,36.1626638
"149","CatePatton","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/zdbzc0CJjt",0,0,1,1,-74.2040339,39.9689717
"151","catyycainn","@Starbucks how long do Starbucks For Life Bonus Stars take to apply to your account? ☺️⭐️ #starsonstars #StarbucksforLife",0,0,1,1,-79.9310512,32.7764749
"152","CayenneChai","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/S1TaG3YI9A",0,1,1,1,-114.0708459,51.0486151
"155","Celeste_Bishop","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/HfwWPGX8pK",0,0,1,1,-97.6222665,30.4548451
