"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"144","Chrissyann12345","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-79.6903316,44.3893556
"145","ChristinaYoga86","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-73.9441579,40.6781784
"146","chttrboxx87","RT @Sbux_Dundee: Lets get cheering!! #CheerForGood @SpectrumDundee. Go on give us a retweet or a cheer yourself #givegood @StarbucksUK @nbr‚Ä¶",112,0,1,1,-112.0849402,41.6553589
"150","CityYearOrlando",".@Starbucks regional director surprised our hardworking partner teachers and admin at Evans HS with #GiveGood gift‚Ä¶ https://t.co/8nd2SLsZF3",2,6,0,0,-81.3792365,28.5383355
"152","clungren","#GiveGood everyday look at giving, not only at Starbucks but everywhere",0,0,0,0,-94.8191285,38.8813958
"166","Couture_Trader","Still time to #getitbeforechristmas + take off $10 with #TEN at checkout

Ì†ºÌæÑÌ†ºÌæÖ  https://t.co/1ITFV8KKyV  Ì†ºÌæÑÌ†ºÌæÖ‚Ä¶ https://t.co/cTqljlYDGI",0,0,0,0,-97.5644707,35.5278582
"168","craftdwithlove","Doing good never felt so good @Starbucks @gwenstefani! Over 300 hand knit scarves will be donated to cancer patient‚Ä¶ https://t.co/XWLwh6Ugo1",0,1,2,2,-119.4179324,36.778261
"175","Currer813","RT @AnavitaHernand1: Starbucks for life #GiveGood",1,0,0,0,-85.7584557,38.2526647
"180","Daniel_Reilly","@Starbucks #GiveGood Let's have the best holiday ever! Someone kick Turnip in the nugs!",0,0,1,1,-75.1652215,39.9525839
"183","DaniUK87","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-119.4179324,36.778261
"184","DaveCWallace13","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-91.8318334,37.9642529
"192","DearStacyAnna","Starbucks for life #givegood",0,0,0,0,-85.4836557,43.6980782
"193","DefyGravityCLT","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-80.7469467,35.2925546
"194","degreesofshine","#GIVEGOOD~Winter kindness. Dust the snow off your parking mate's car while your car is warming up Ì†ΩÌ∏á",0,0,0,0,-85.671952,42.977662
"196","demiEnews","Starbucksnews: .@ddlovato delighted fans and customers with gifts from #Starbucks in the Windy City for her Jingle‚Ä¶ https://t.co/TPzyPap1bK",0,1,2,2,-73.8076088,40.6701483
"198","DeniellaUlsky","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-122.5770322,45.1473445
"199","DeniseABigelow","Each of my 28 students picked out a ""free"" book before going home for a two week break. Happy reading and don't for‚Ä¶ https://t.co/PfRbrid4Ma",0,0,1,1,-122.3320708,47.6062095
"200","DeNovo__","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-118.2436849,34.0522342
"201","derrangedferret","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-79.9958864,40.4406248
"203","destinyeliz1313","RT @mariap0117: No act of kindness no matter how small, is ever wasted #GiveGood",85,0,0,0,-81.6848188,35.7454071
"206","DGonzo42","Thanks @Starbucks #GiveGood https://t.co/7oLRdnCklz",0,0,0,0,-87.6297982,41.8781136
"207","diamondcreo","#GiveGood words of encouragement. You never know who needs to hear it!",0,1,1,1,-84.9877094,32.4609764
"210","DianeRKavanagh","Despite a horrible customer service w perience tonight, I still like the coffee. #givegood",0,0,0,0,-83.0457538,42.331427
"216","divamom0011","So excited to give the gift of Starbucks to one lucky college student #GiveGood",0,0,2,2,-79.0192997,35.7595731
"218","dlw_9","Hoping to volunteer somewhere as a family this Christmas. #givegood",0,0,0,0,-95.712891,37.09024
"223","DodgerDiva","Pay it forward #givegood",0,0,0,0,-118.1170117,33.8816818
"224","dogfaceddog","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-120.8958242,38.8375215
"227","donnellyd11","I love seeing all of these #GiveGood tweets! So inspiring!",0,0,2,2,-84.5120196,39.1031182
"233","DreyRowsMa","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-70.9756186,43.304526
"234","DreyRowsMa","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",572,0,0,0,-70.9756186,43.304526
"239","EChinarian","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-83.7430378,42.2808256
"240","ela_szczepan","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-79.3831843,43.653226
"242","elledine","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",572,0,0,0,-120.5542012,43.8041334
"243","elledine","RT @MorganLovesMen: STARBUCKS is my soul mate #StarbucksforLife  #givegood",1,0,0,0,-120.5542012,43.8041334
"248","Ember_Tech","In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her f‚Ä¶ https://t.co/7kYJIXxuPi",29,83,1,1,-118.2436849,34.0522342
"249","Emdavenport11","This year, instead of playing Secret Santa at work, our team bought presents for our own ‚ÄúAngels‚Äù - children of emp‚Ä¶ https://t.co/DgqZLKmrBd",0,0,1,1,-83.9207392,35.9606384
"250","engage_sm1","Carol with us tomorrow at Christmas valley and spread some Christmas cheer #GiveGood",0,0,1,1,-91.8318334,37.9642529
"251","EnvisionTS","Thinking about a holiday service project for Visionaries #GiveGood",0,0,0,0,-77.0433177,38.9086635
"259","EwenLaura","Homeless Women have specific  challenges not often thought of or addressed. What to do: find an old purse or bag &amp;‚Ä¶ https://t.co/HCWK7oxN6H",0,0,0,0,-86.8195629,36.1074331
"260","EwenLaura","RT @SunDishStirling: Retweeted Regina Freige (@reginaict):

#givegood retweet to win Starbucks for life",5,0,1,1,-86.8195629,36.1074331
"261","farfatweet","Pay for the person behind you in the drive through. #GiveGood",0,0,0,0,-96.3344068,30.627977
"294","flyguy1931","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-85.323214,51.253775
"295","ForeverAngel26","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-85.323214,51.253775
"297","frankena22","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-71.3824374,42.4072107
"305","garrettspeck","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-77.3063733,38.8462236
"306","gdavidlee","#givegood coffee",0,0,0,0,-81.5157535,27.6648274
"310","gillcrys","@Starbucks My Starbucks Dallas Hwy &amp; Barrett Pkwy is the bomb! Sarah Jason Beth Shen &amp; all really start my day off well ‚ù§Ô∏è -#GiveGood",0,0,0,0,-84.3879824,33.7489954
"311","gillcrys","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-84.3879824,33.7489954
"312","givekidsthearts","RT @keep_going_hard: Believe there is good in the world... BE THE GOOD. #Givegood #BeGood #Kind #Kindness #BeTheGood https://t.co/rPagbGSqwj",1,0,3,3,-71.396725,42.0834313
"313","GlennSalyers","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-86.2519898,41.6763545
"315","gracelkinney","Retweet for a chance to win Starbucks for life! #givegood",1,1,1,1,-120.7401385,47.7510741
"316","Gretagem","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-73.9441579,40.6781784
"317","gsunshiine","We are given two hands, one for helping ourselves and one for helping others. #GiveGood #StarbucksforLife #starbucks",0,0,2,2,-111.0937311,34.0489281
"324","HausOf_Martin","RT @MsD422: #givegood¬† Spread cheer this holiday season by surprising someone with a‚Äùjust because‚Äù act of kindness.",268,0,2,2,-95.3698028,29.7604267
"328","HeidiMarie","Give your time or money to a deserving local charity this holiday season! #givegood!",1,2,1,1,-73.9234619,40.7643574
"331","highkeydallas_","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-89.3985283,40.6331249
"332","HillaryYeager","#givegood the best moment of my holiday season so far was when someone bought my coffee‚Äî and I was able to pass it‚Ä¶ https://t.co/hPPQLwM3Zw",0,0,1,1,-86.39027,35.8456213
"335","Hookerstar","RT @ladygaga: Thank u @Starbucks &amp; @Spotify for celebrating artists who #GiveGood with a donation to @BTWFoundation, and to great organizat‚Ä¶",5233,0,2,2,-74.0059728,40.7127753
"336","HopeSRN","@Starbucks #givegood is easy when enjoying a warm beverage!",0,0,3,3,-97.092877,35.0077519
"337","HopeSRN","RT @CarieShipman: #GiveGood retweet for a chance to win Starbucks for life.",1269,0,1,1,-97.092877,35.0077519
"338","HopeSRN","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-97.092877,35.0077519
"340","i_heart_wallae","Nothing better than a random act of kindness to brighten up the holidays #givegood",0,0,3,3,-117.1610838,32.715738
"342","IamHisbeloved02","Just a smile can change someone's day. #givegood",1,0,1,1,-80.3972736,27.6386434
"343","IAmSparklePants","RT @MsD422: #givegood¬† Spread cheer this holiday season by surprising someone with a‚Äùjust because‚Äù act of kindness.",268,0,2,2,-122.6716063,45.6318397
"344","icecrystal23","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-122.2823421,47.8638853
"345","ichuta","Gave Starbucks gift card during company White Elephant exchange. #givegood",0,0,0,0,-97.7430608,30.267153
