"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"15","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:29:17,FALSE,NA,"942265420781899776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scarletpiper1",3700,TRUE,FALSE,NA,NA
"16","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:28:08,FALSE,NA,"942265130552909824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kjksimpson",3700,TRUE,FALSE,NA,NA
"17","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:25:12,FALSE,NA,"942264393538134016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sidshane",3700,TRUE,FALSE,NA,NA
"18","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:21:34,FALSE,NA,"942263480631091200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FashionChanny",3700,TRUE,FALSE,NA,NA
"19","RT @davelackie: I'm giving away this #StarbucksAtHome Pike Place + Clinique Stocking Stuffer set on Twitter! To enter follow @davelackie &amp;…",FALSE,0,NA,2017-12-17 05:21:13,FALSE,NA,"942263392009621505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KateTurkey",3765,TRUE,FALSE,NA,NA
"20","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:16:43,FALSE,NA,"942262260541505536",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kellielegs",3700,TRUE,FALSE,NA,NA
"21","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:15:12,FALSE,NA,"942261876142100481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","genevemorgan1",3700,TRUE,FALSE,NA,NA
"22","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:14:51,FALSE,NA,"942261786870288389",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","obeezer",3700,TRUE,FALSE,NA,NA
"23","RT @davelackie: I'm giving away this #StarbucksAtHome Pike Place + Clinique Stocking Stuffer set on Twitter! To enter follow @davelackie &amp;…",FALSE,0,NA,2017-12-17 05:14:32,FALSE,NA,"942261708164235264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","applerain001",3765,TRUE,FALSE,NA,NA
"24","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:13:24,FALSE,NA,"942261423949803521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ShiethaP",3700,TRUE,FALSE,NA,NA
