"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"321","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",FALSE,0,NA,2017-12-17 00:05:30,FALSE,NA,"942183936473563137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ContortrixComic",671,TRUE,FALSE,NA,NA
"322","RT @CarieShipman: #GiveGood retweet for a chance to win Starbucks for life.",FALSE,0,NA,2017-12-17 00:03:24,FALSE,NA,"942183409920761856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HappyTown66",1359,TRUE,FALSE,NA,NA
"323","RT @mariap0117: No act of kindness no matter how small, is ever wasted #GiveGood",FALSE,0,NA,2017-12-17 00:03:19,FALSE,NA,"942183390211641344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HappyTown66",100,TRUE,FALSE,NA,NA
"324","#givegood a smile and a little kindness will make someone very appreciative. Share it!",FALSE,0,NA,2017-12-17 00:03:06,FALSE,NA,"942183335417335808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HappyTown66",0,FALSE,FALSE,NA,NA
"325","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",FALSE,0,NA,2017-12-17 00:01:47,FALSE,NA,"942183003404595201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HappyTown66",671,TRUE,FALSE,NA,NA
"326","#givegood 

Bought coffee for some police ‚ù§Ô∏è‚ù§Ô∏è Your turn to go and Do a good deed! 
#ChooseKindness",FALSE,0,NA,2017-12-17 00:01:13,FALSE,NA,"942182862081724416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","haylea_l",0,FALSE,FALSE,NA,NA
"327","The season is about giving...#givegood",FALSE,0,NA,2017-12-16 23:57:57,FALSE,NA,"942182038207062016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TanyaMySunnyEye",0,FALSE,FALSE,NA,NA
"328","#givegood Be patient and kind in traffic!",FALSE,0,NA,2017-12-16 23:56:58,FALSE,NA,"942181792886398976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bluebirdunicorn",0,FALSE,FALSE,NA,NA
"329","#GiveGood Be Kind and drink Starbucks.",FALSE,0,NA,2017-12-16 23:56:45,FALSE,NA,"942181736892465152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","matthnaumann",0,FALSE,FALSE,NA,NA
"330","Make somebody‚Äôs day and pay for their Starbucks #givegood",FALSE,1,NA,2017-12-16 23:56:13,FALSE,NA,"942181600162332673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ann38383",1,FALSE,FALSE,NA,NA
"331","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",FALSE,0,NA,2017-12-16 23:55:51,FALSE,NA,"942181509414432768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catgirl33",290,TRUE,FALSE,NA,NA
"332","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",FALSE,0,NA,2017-12-16 23:52:15,FALSE,NA,"942180605432758272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WingWifeUSMC",663,TRUE,FALSE,NA,NA
"333","Buy the next person in line a coffee #GiveGood #starbucks",FALSE,4,NA,2017-12-16 23:50:58,FALSE,NA,"942180278914682881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oxoMissNikkkoxo",0,FALSE,FALSE,NA,NA
"334","RT @XPurpleRabbitX: #givegood Pay for the guy behind you in line!",FALSE,0,NA,2017-12-16 23:49:14,FALSE,NA,"942179843474640896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","bookluver_",1,TRUE,FALSE,NA,NA
"335","RT @CuriosidadNickJ: Nick cantando en un Starbucks #GiveGood. #NickJonas Ì†ΩÌ≥∏(via @JickNonasNews) https://t.co/dvS3B1DlXI",FALSE,0,NA,2017-12-16 23:48:44,FALSE,NA,"942179718773837825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shei_lukera",1,TRUE,FALSE,NA,NA
"336","RT @CuriosidadNickJ: Nick cantando en un Starbucks #GiveGood. #NickJonas Ì†ΩÌ≥∏(via @DailyNickJonas) https://t.co/DRGYIaiSe4",FALSE,0,NA,2017-12-16 23:46:14,FALSE,NA,"942179088646713344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shei_lukera",3,TRUE,FALSE,NA,NA
"337","Want my free Starbucks #givegood",FALSE,0,NA,2017-12-16 23:45:35,FALSE,NA,"942178927136698368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bunnyfer77",0,FALSE,FALSE,NA,NA
"338","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",FALSE,0,NA,2017-12-16 23:44:49,FALSE,NA,"942178733208883201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thedaniellenp",671,TRUE,FALSE,NA,NA
"339","#givegood Pay for the guy behind you in line!",FALSE,0,NA,2017-12-16 23:42:50,FALSE,NA,"942178234564739078",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","XPurpleRabbitX",1,FALSE,FALSE,NA,NA
"340","Nick cantando en un Starbucks #GiveGood. #NickJonas Ì†ΩÌ≥∏(via @JickNonasNews) https://t.co/eOQ2Z1Sith",FALSE,2,NA,2017-12-16 23:42:45,FALSE,NA,"942178213178077185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CuriosidadNickJ",0,FALSE,FALSE,NA,NA
"341","Nick cantando en un Starbucks #GiveGood. #NickJonas Ì†ΩÌ≥∏(via @JickNonasNews) https://t.co/dvS3B1DlXI",FALSE,5,NA,2017-12-16 23:42:13,FALSE,NA,"942178077307822091",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CuriosidadNickJ",1,FALSE,FALSE,NA,NA
"342","Making postcard art to anonymously drop around the city is pure joy. #GiveGood #moreartmoreheart #prismacolors https://t.co/RzX18GhzDb",FALSE,0,NA,2017-12-16 23:41:10,FALSE,NA,"942177816606597120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GiveAndEngage",0,FALSE,FALSE,NA,NA
